accession_number,section_hint,has_section_hint,recommended_status,reason,action
1900.1.7,3.2,yes,likely_missing_description,"Image says See discussion in Section 3.2",
1909.67.22,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1909.67.25,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1909.67.26,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1909.67.33,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1909.67.35,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1909.67.36,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1922.67.1,3.5,yes,likely_missing_description,"Image says See discussion in Section 3.5",
1923.2.1,3.5,yes,likely_missing_description,"Image says See discussion in Section 3.5",
1934.46.3,3.6,yes,likely_missing_description,"Image says See discussion in Section 3.6",
1938.31.27,3.7,yes,no_image_placeholder,"Image says See discussion in Section 3.7 but no actual image available",
1967.45.1,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1970.16.1,3.8,yes,likely_missing_description,"Image says See discussion in Section 3.8",
1991.13.27.1,2.2,yes,likely_missing_description,"Image says See discussion in Section 2.2",
1991.13.27.2,2.2,yes,shared_image_reference,"No separate standalone image found; likely covered by combined image with 1991.13.27.1",
1991.16.1,3.6,yes,likely_missing_description,"Image says See discussion in Section 3.6",
1992.20.1,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
1995.1.2,1.2,yes,likely_missing_description,"Image says See discussion in Section 1.2",
2011.21.1,1.2,yes,no_image_placeholder,"Image says See discussion in Section 1.2 but no actual image available",
2012.103.11,3.9,yes,no_image_placeholder,"Referenced to Section 3.9 but no standalone image file is present",